article_id,detail_desc,hn_article_id,hn_detail_desc,category_name,positive_cat_value,hnegative_cat_value,enhanced_query
108775044,Jersey top with narrow shoulder straps.,695089002.0,"Jumper in fine-knit cotton with a round neck, long sleeves, chest pocket and ribbing around the neckline, cuffs and hem.",colour_group_name,White,Black,Jersey top with narrow shoulder straps.. It has to be White and not Black.
176754003,Two-strand hairband with braids in imitation suede and elastic at the back.,831939004.0,"5-pocket slim-fit jeans in washed, superstretch denim for maximum mobility. High, adjustable, elasticated waist (in sizes 8-12Y), a zip fly and narrow hems.",colour_group_name,Yellowish Brown,Black,Two-strand hairband with braids in imitation suede and elastic at the back.. It has to be Yellowish Brown and not Black.
176754019,Two-strand hairband with braids in imitation suede and elastic at the back.,712056003.0,Baby Exclusive. Dungarees in sturdy organic cotton jersey with elastication at the back of the waist and straps with adjustable buttoning. Concealed press-studs at the crotch (except in sizes 1-4Y) and sewn-in turn-ups at the hems.,colour_group_name,Light Orange,Light Beige,Two-strand hairband with braids in imitation suede and elastic at the back.. It has to be Light Orange and not Light Beige.
189634031,Leggings in stretch jersey with an elasticated waist.,,,department_name,Basic 1,Young Boy Shorts,
194270044,Tops in soft organic cotton jersey.,662369052.0,"Boxer shorts in a cotton weave with an elasticated waist, long legs and button fly.",department_name,Young Girl Jersey Basic,Underwear Woven,Tops in soft organic cotton jersey.. It has to be Young Girl Jersey Basic and not Underwear Woven.
203027047,Short-sleeved top in jersey with sewn-in turn-ups on the sleeves.,824526004.0,Longer-style jacket in woven fabric with notch lapels and welt front pockets with a flap. Lined.,department_name,Basic 1,Suit jacket,Short-sleeved top in jersey with sewn-in turn-ups on the sleeves.. It has to be Basic 1 and not Suit jacket.
212042070,Cotton trainers with closed lacing and a loop at the back. Fabric linings and insoles and rubber soles.,,,department_name,Divided Shoes,Shirt S&T,
214844001,Metal hair grips. Length 5 cm.,176754003.0,Two-strand hairband with braids in imitation suede and elastic at the back.,department_name,Hair Accessories,Hair Accessories,Metal hair grips. Length 5 cm.. It has to be Hair Accessories and not Hair Accessories.
215303001,"Sunglasses with plastic frames and UV-protective, tinted lenses.",671057001.0,T-shirt in soft cotton jersey with a print motif on the front.,department_name,Sunglasses,Tops Fancy Jersey,"Sunglasses with plastic frames and UV-protective, tinted lenses.. It has to be Sunglasses and not Tops Fancy Jersey."
216081011,"Cardigan in a bouclé knit made from a wool blend with a shawl collar, zip at one side and long sleeves.",730720001.0,"Trousers in woven fabric with a high paper bag waist, side pockets, detachable tie belt and tapered legs.",department_name,Tops Knitwear DS,Woven bottoms,"Cardigan in a bouclé knit made from a wool blend with a shawl collar, zip at one side and long sleeves.. It has to be Tops Knitwear DS and not Woven bottoms."
218829015,"Gloves in soft, supple leather. Lined.",840506010.0,Zip-through hoodie in sweatshirt fabric with a soft brushed inside. Zip down the front and ribbing at the cuffs and hem. The cotton content of the hoodie is organic.,department_name,Gloves/Hats,Kids Girl Jersey Basic,"Gloves in soft, supple leather. Lined.. It has to be Gloves/Hats and not Kids Girl Jersey Basic."
228257001,Tights with an elasticated waist. 20 denier.,,,department_name,Tights basic,Shorts,
237347052,"Jacket in sweatshirt fabric with a lined drawstring hood, zip down the front, side pockets and ribbing at the cuffs and hem.",752742013.0,Vest top in cotton jersey with a print motif and slits in the sides of the hem.,department_name,Jersey Basic,Jersey Fancy,"Jacket in sweatshirt fabric with a lined drawstring hood, zip down the front, side pockets and ribbing at the cuffs and hem.. It has to be Jersey Basic and not Jersey Fancy."
247072020,"All-in-one pyjamas in soft, organic cotton jersey with short sleeves, short legs and press-stud fastenings.",649227001.0,"Padded softshell jacket in windproof, water-repellent functional fabric with folded seams, a detachable hood and fleece-lined, stand-up collar. Zip down the front, zipped front pockets with taped seams and ribbed cuffs. Lined. The jacket has a water-repellent coating without fluorocarbons.",department_name,Baby Nightwear,Young Boy Outdoor,"All-in-one pyjamas in soft, organic cotton jersey with short sleeves, short legs and press-stud fastenings.. It has to be Baby Nightwear and not Young Boy Outdoor."
264713028,"Loafers in imitation suede with moccasin seams, decorative laces, fabric linings and insoles and rubber soles.",723371002.0,"Short, off-the-shoulder blouse in a crinkled viscose weave with inset lace trims, elastication at the top and hem, and short sleeves with a flounced trim.",department_name,Shoes / Boots inactive from s5,Tops Woven,"Loafers in imitation suede with moccasin seams, decorative laces, fabric linings and insoles and rubber soles.. It has to be Shoes / Boots inactive from s5 and not Tops Woven."
265069012,Polo shirt in organic cotton jersey with a ribbed collar and button placket.,,,department_name,Kids Boy Jersey Basic,Young Girl S&T,
265071028,Short-sleeved polo shirt in organic cotton jersey with a ribbed collar and button placket.,568556001.0,Short imitation suede skirt in a double layer at the front with eyelets and lacing. Visible zip at the back. Lined.,department_name,Young Boy Jersey Basic,Skirts,Short-sleeved polo shirt in organic cotton jersey with a ribbed collar and button placket.. It has to be Young Boy Jersey Basic and not Skirts.
265071030,Short-sleeved polo shirt in organic cotton jersey with a ribbed collar and button placket.,,,department_name,Young Boy Jersey Basic,Young Boy Jersey Fancy,
275362021,"Knee-length shorts in sweatshirt fabric with a low crotch, elasticated drawstring waist, side pockets, back pockets and ribbed hems.",,,department_name,Jersey Fancy,Swimwear,
277738002,"All-in-one suit in organic cotton sweatshirt fabric with a jersey-lined hood, zip down the front, front pockets and ribbing at the cuffs and hems.",663835001.0,"Blouse in a crinkled plumeti viscose weave with embroidery at the top, a V-neck and gathered seam under the bust with a crocheted lace trim. Long sleeves with elasticated cuffs. Unlined.",department_name,Baby basics,Tops Woven,"All-in-one suit in organic cotton sweatshirt fabric with a jersey-lined hood, zip down the front, front pockets and ribbing at the cuffs and hems.. It has to be Baby basics and not Tops Woven."
287645003,Thin tights with an elasticated waist.,668579001.0,"Short, off-the-shoulder, straight-cut dress in sturdy jersey with elastication and a wide flounce at the top and pockets in the side seams. Unlined.",department_name,Kids Girl S&T,Dress,Thin tights with an elasticated waist.. It has to be Kids Girl S&T and not Dress.
287645031,Thin tights with an elasticated waist.,288825017.0,Fine-knit tights with an elasticated waist.,department_name,Kids Girl S&T,Young Girl S&T,Thin tights with an elasticated waist.. It has to be Kids Girl S&T and not Young Girl S&T.
288825017,Fine-knit tights with an elasticated waist.,287645031.0,Thin tights with an elasticated waist.,department_name,Young Girl S&T,Kids Girl S&T,Fine-knit tights with an elasticated waist.. It has to be Young Girl S&T and not Kids Girl S&T.
288825018,Fine-knit tights with an elasticated waist.,449570050.0,Sports top in fast-drying functional fabric with taped details and short raglan sleeves. Rounded and longer at the back.,department_name,Young Girl S&T,Men Sport Woven,Fine-knit tights with an elasticated waist.. It has to be Young Girl S&T and not Men Sport Woven.
288825029,Fine-knit tights with an elasticated waist.,288825018.0,Fine-knit tights with an elasticated waist.,department_name,Young Girl S&T,Young Girl S&T,Fine-knit tights with an elasticated waist.. It has to be Young Girl S&T and not Young Girl S&T.
288859017,"Tights in a soft, cable-knit cotton blend with an elasticated waist.",529012045.0,"Lace Brazilian briefs with a low waist, lined gusset, wide sides and half-string back.",department_name,Young Girl S&T,Expressive Lingerie,"Tights in a soft, cable-knit cotton blend with an elasticated waist.. It has to be Young Girl S&T and not Expressive Lingerie."
290519008,"Cardigan in soft organic cotton sweatshirt fabric with a stand-up collar, press-studs down the front, and ribbing around the neckline, cuffs and hem. Soft brushed inside.",829962011.0,T-shirt in soft cotton jersey with a print motif. Ribbed trim around the neckline.,department_name,Baby basics,Young Boy Jersey Fancy,"Cardigan in soft organic cotton sweatshirt fabric with a stand-up collar, press-studs down the front, and ribbing around the neckline, cuffs and hem. Soft brushed inside.. It has to be Baby basics and not Young Boy Jersey Fancy."
294008056,Gently flared top in soft viscose jersey with short sleeves and a rounded hem.,782742001.0,"Ankle-length dress in a crinkled weave with a flounced trim at the top. Narrow shoulder straps that cross at the back, a seam at the waist and flared skirt. Lined.",department_name,Jersey,Dress,Gently flared top in soft viscose jersey with short sleeves and a rounded hem.. It has to be Jersey and not Dress.
299733001,Strapless jersey dress with an elasticated waist. Inner top with elastication at the top.,544820001.0,"Long-sleeved top in soft velour with appliqués and embroidery and ribbing around the neckline, cuffs and hem.",department_name,Jersey Basic,Kids Girl Jersey Fancy,Strapless jersey dress with an elasticated waist. Inner top with elastication at the top.. It has to be Jersey Basic and not Kids Girl Jersey Fancy.
300024009,"Jeans in washed stretch denim with fake front pockets, real back pockets and skinny legs. Wide ribbing at the waist for optimum comfort.",,,department_name,Woven bottoms,AK Tops Jersey & Woven,
302334003,Braided belt with imitation leather details and a metal buckle. Width 3.5 cm.,400296003.0,"5-pocket, calf-length jeans in washed denim with a high waist and straight legs with raw-edge, frayed hems.",department_name,Belts,Denim Trousers,Braided belt with imitation leather details and a metal buckle. Width 3.5 cm.. It has to be Belts and not Denim Trousers.
304766007,Socks in a soft rib knit containing some mohair.,,,department_name,Socks,Young Boy Knitwear,
305775003,Tights in a fine knit containing glittery threads with an elasticated waist. Soft inside.,532955001.0,"Large, thin metal hoop earrings. Diameter 7.5 cm.",department_name,Kids Girl S&T,Small Accessories,Tights in a fine knit containing glittery threads with an elasticated waist. Soft inside.. It has to be Kids Girl S&T and not Small Accessories.
